bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia
Koyi K Utho,www.facebook.com/koyikutho.oficial/,70000tons.com/wp-content/uploads/2016/01/KOYI_K_UTHO_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+KOYI%20K%20UTHO,http://www.metal-archives.com/search?searchString=KOYI%20K%20UTHO&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:KOYI%20K%20UTHO
Katatonia,katatonia.com/,70000tons.com/wp-content/uploads/2015/10/katatonia.png,https://www.youtube.com/results?search_query=official+music%20video+Katatonia,http://www.metal-archives.com/search?searchString=Katatonia&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Katatonia
Krisiun,www.krisiun.com.br/,70000tons.com/wp-content/uploads/2015/10/krisiun.png,https://www.youtube.com/results?search_query=official+music%20video+Krisiun,http://www.metal-archives.com/search?searchString=Krisiun&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Krisiun
Lacuna Coil,www.lacunacoil.it/,70000tons.com/wp-content/uploads/2015/06/lacunacoil.png,https://www.youtube.com/results?search_query=official+music%20video+Lacuna%20Coil,http://www.metal-archives.com/search?searchString=Lacuna%20Coil&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lacuna%20Coil
Manilla Road,www.manillaroad.net/,70000tons.com/wp-content/uploads/2015/08/manillaroad.png,https://www.youtube.com/results?search_query=official+music%20video+Manilla%20Road,http://www.metal-archives.com/search?searchString=Manilla%20Road&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Manilla%20Road
Moonspell,moonspell.com,70000tons.com/wp-content/uploads/2015/06/moonspell.png,https://www.youtube.com/results?search_query=official+music%20video+Moonspell,http://www.metal-archives.com/search?searchString=Moonspell&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Moonspell
My Dying Bride,www.mydyingbride.net/,70000tons.com/wp-content/uploads/2015/06/mydyingbride.png,https://www.youtube.com/results?search_query=official+music%20video+My%20Dying%20Bride,http://www.metal-archives.com/search?searchString=My%20Dying%20Bride&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:My%20Dying%20Bride
Nervosa,www.facebook.com/nervosa,70000tons.com/wp-content/uploads/2016/01/NERVOSA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Nervosa,http://www.metal-archives.com/search?searchString=Nervosa&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nervosa
No Raza,www.noraza.net/,70000tons.com/wp-content/uploads/2016/01/NO_RAZA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+No%20Raza,http://www.metal-archives.com/search?searchString=No%20Raza&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:No%20Raza
Novembers Doom,www.facebook.com/NovembersDoom1989,70000tons.com/wp-content/uploads/2016/01/Novembers_Doom_logo_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Novembers%20Doom,http://www.metal-archives.com/search?searchString=Novembers%20Doom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Novembers%20Doom
Painful,www.facebook.com/OfficialPainful/,70000tons.com/wp-content/uploads/2015/12/PAINFUL-LOGO-WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Painful,http://www.metal-archives.com/search?searchString=Painful&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Painful
Paradise Lost,www.paradiselost.co.uk/,70000tons.com/wp-content/uploads/2015/10/ParadiseLost.png,https://www.youtube.com/results?search_query=official+music%20video+Paradise%20Lost,http://www.metal-archives.com/search?searchString=Paradise%20Lost&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Paradise%20Lost
Raven,www.ravenlunatics.com/,70000tons.com/wp-content/uploads/2016/01/raven.png,https://www.youtube.com/results?search_query=official+music%20video+Raven,http://www.metal-archives.com/search?searchString=Raven&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Raven
Rhapsody of Fire,www.rhapsodyoffire.com/,70000tons.com/wp-content/uploads/2015/07/rhapsodyoffire.png,https://www.youtube.com/results?search_query=official+music%20video+Rhapsody%20of%20Fire,http://www.metal-archives.com/search?searchString=Rhapsody%20of%20Fire&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rhapsody%20of%20Fire
Rotting Christ,www.rotting-christ.com/,70000tons.com/wp-content/uploads/2015/07/rottingchrist.png,https://www.youtube.com/results?search_query=official+music%20video+Rotting%20Christ,http://www.metal-archives.com/search?searchString=Rotting%20Christ&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rotting%20Christ
Susperia,www.facebook.com/Susperiaofficial/,70000tons.com/wp-content/uploads/2016/01/SUSPERIA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+SUSPERIA,http://www.metal-archives.com/search?searchString=SUSPERIA&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:SUSPERIA
Samael,www.samael.info/,70000tons.com/wp-content/uploads/2015/08/samael.png,https://www.youtube.com/results?search_query=official+music%20video+Samael,http://www.metal-archives.com/search?searchString=Samael&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Samael
Skalmold,,,https://www.youtube.com/results?search_query=official+music%20video+Skalmold,http://www.metal-archives.com/search?searchString=Skalmold&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Skalmold
Sodom,www.sodomized.info/,70000tons.com/wp-content/uploads/2015/07/sodom.png,https://www.youtube.com/results?search_query=official+music%20video+Sodom,http://www.metal-archives.com/search?searchString=Sodom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sodom
Squealer,https://www.squealer.de,70000tons.com/wp-content/uploads/2015/10/squealer_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Squealer,http://www.metal-archives.com/search?searchString=Squealer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Squealer
Starkill,https://www.facebook.com/StarkillOfficial/,70000tons.com/wp-content/uploads/2016/01/STARKILL_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Starkill,http://www.metal-archives.com/search?searchString=Starkill&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Starkill
Stratovarius,www.stratovarius.com/,70000tons.com/wp-content/uploads/2015/10/stratovarius.png,https://www.youtube.com/results?search_query=official+music%20video+Stratovarius,http://www.metal-archives.com/search?searchString=Stratovarius&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Stratovarius
Subway To Sally,subwaytosally.com/,70000tons.com/wp-content/uploads/2015/10/subwaytosally.png,https://www.youtube.com/results?search_query=official+music%20video+Subway%20To%20Sally,http://www.metal-archives.com/search?searchString=Subway%20To%20Sally&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Subway%20To%20Sally
Thyrfing,www.thyrfing.com/,70000tons.com/wp-content/uploads/2015/07/thyrfing.png,https://www.youtube.com/results?search_query=official+music%20video+Thyrfing,http://www.metal-archives.com/search?searchString=Thyrfing&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Thyrfing
Tsudjer,www.facebook.com/tsjuderofficial/,70000tons.com/wp-content/uploads/2015/07/tsudjer.png,https://www.youtube.com/results?search_query=official+music%20video+Tsudjer,http://www.metal-archives.com/search?searchString=Tsudjer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tsudjer
Turisas,www.turisas.com/,70000tons.com/wp-content/uploads/2015/06/turisas.png,https://www.youtube.com/results?search_query=official+music%20video+Turisas,http://www.metal-archives.com/search?searchString=Turisas&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Turisas
Twilight Force,www.facebook.com/pages/Twilight-Force/548969448494708,70000tons.com/wp-content/uploads/2015/12/TWILIGHT-FORCE-Logo-Web.png,https://www.youtube.com/results?search_query=official+music%20video+Twilight%20Force,http://www.metal-archives.com/search?searchString=Twilight%20Force&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Twilight%20Force
Tyr,www.tyr.fo/,70000tons.com/wp-content/uploads/2015/07/tyr.png,https://www.youtube.com/results?search_query=official+music%20video+Tyr,http://www.metal-archives.com/search?searchString=Tyr&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tyr
Vader,www.facebook.com/vader/,70000tons.com/wp-content/uploads/2015/10/vader.png,https://www.youtube.com/results?search_query=official+music%20video+Vader,http://www.metal-archives.com/search?searchString=Vader&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vader
Vallenfyre,www.vallenfyre.co.uk/,70000tons.com/wp-content/uploads/2015/10/vallenfyre.png,https://www.youtube.com/results?search_query=official+music%20video+Vallenfyre,http://www.metal-archives.com/search?searchString=Vallenfyre&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vallenfyre
Visions of Atlantis,www.facebook.com/visionsofatlantisofficial,70000tons.com/wp-content/uploads/2015/07/visions.png,https://www.youtube.com/results?search_query=official+music%20video+Visions%20of%20Atlantis,http://www.metal-archives.com/search?searchString=Visions%20of%20Atlantis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Visions%20of%20Atlantis
