bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Left Ovr,https://www.facebook.com/leftoverpr,70000tons.com/wp-content/uploads/2024/01/57_id92jl9a2d_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Left%20Ovr,http://www.metal-archives.com/search?searchString=Left%20Ovr&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Left%20Ovr,Puerto Rico,Groove/Southern Metal,,Never
Rising Steel,www.rising-steel.fr/,70000tons.com/wp-content/uploads/2024/01/58_aljwjdiasjd.png,https://www.youtube.com/results?search_query=official+music%20video+Rising%20Steel,http://www.metal-archives.com/search?searchString=Rising%20Steel&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rising%20Steel,France,Heavy Metal,,Never
Shores of Null,www.shoresofnull.com/,70000tons.com/wp-content/uploads/2024/01/59_923mnflaid.png,https://www.youtube.com/results?search_query=official+music%20video+Shores%20of%20Null,http://www.metal-archives.com/search?searchString=Shores%20of%20Null&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Shores%20of%20Null,Italy,Melodic Black/Doom Metal,,Never
Temperance,www.temperanceband.com/,70000tons.com/wp-content/uploads/2024/01/60_ad29aJJasd2.png,https://www.youtube.com/results?search_query=official+music%20video+Temperance,http://www.metal-archives.com/search?searchString=Temperance&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Temperance,Italy,Melodic Heavy/Power Metal,,2019
ACOD,fr-fr.facebook.com/acodband/,70000tons.com/wp-content/uploads/2024/01/61_asdljjjjalw.png,https://www.youtube.com/results?search_query=official+music%20video+ACOD+Fourth+Reign+over+Opacities+and+Beyond,http://www.metal-archives.com/search?searchString=ACOD&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:ACOD,France,Thrash/Black Metal/Melodic Black/Death Metal,,Never
Arion,arion.fi/,70000tons.com/wp-content/uploads/2024/01/62_o9ikj45t.png,https://www.youtube.com/results?search_query=official+music%20video+Arion+Vultures+Die+Alone,https://www.metal-archives.com/bands/Arion/3540384434,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arion,Finland,Symphonic Power Metal,,Never
Wolfheart,www.wolfheartmetal.com/,70000tons.com/wp-content/uploads/2024/01/63_0ad2kljpp31.png,https://www.youtube.com/results?search_query=official+music%20video+Wolfheart+King+of+the+North,https://www.metal-archives.com/bands/Wolfheart/3540371106,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Wolfheart,Finland,Melodic Death Metal,,2018
Pentagram Chile,www.facebook.com/PentagramChile1985/,70000tons.com/wp-content/uploads/2024/01/64_pen93u4jfjf.png,https://www.youtube.com/results?search_query=official+music%20video+Pentagram%20Chile,http://www.metal-archives.com/search?searchString=Pentagram%20Chile&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Pentagram%20Chile,Chile,Death/Thrash Metal,,Never
Batushka,www.facebook.com/truebatushka/,70000tons.com/wp-content/uploads/2024/01/65_BATUSHKA.png,https://www.youtube.com/results?search_query=official+music%20video+Batushka,https://www.metal-archives.com/bands/Batushka/3540404077,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Batushka,Poland,Black Metal,Krzysztof Drabikowski's version of the band,2023
Monstrosity,www.monstrosity.us/,70000tons.com/wp-content/uploads/2024/01/66_MONSTROCITY.png,https://www.youtube.com/results?search_query=official+music%20video+Monstrosity,https://www.metal-archives.com/bands/Monstrosity/893,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Monstrosity,United States,Death Metal,,2015
Lich King,www.lichkingmetal.com/,70000tons.com/wp-content/uploads/2024/01/67_LICH_KING.png,https://www.youtube.com/results?search_query=official+music%20video+Lich%20King,http://www.metal-archives.com/search?searchString=Lich%20King&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lich%20King,United States,Thrash Metal,,Never
