Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Aborted,Rink,1/29/2024,Day 1,23:15,00:00,Show, ,New Album World Premiere, 
Fleshgod Apocalypse,Rink,1/30/2024,Day 1,00:45,01:30,Show, , , 
Pentagram Chile,Rink,1/30/2024,Day 1,02:15,03:00,Show, ,New Album World Premiere, 
Avulsed,Rink,1/30/2024,Day 1,03:45,04:30,Show, , , 
Carnation,Rink,1/30/2024,Day 1,05:15,06:00,Show, , , 
Infected Rain,Lounge,1/29/2024,Day 1,17:15,18:00,Show, , , 
Crypta,Lounge,1/29/2024,Day 1,18:45,19:30,Show, , , 
Temperance,Lounge,1/29/2024,Day 1,20:15,21:00,Show, , , 
Saor,Lounge,1/29/2024,Day 1,21:45,22:30,Show, , , 
ACOD,Lounge,1/30/2024,Day 1,00:45,01:30,Show, , , 
Skyforger,Lounge,1/30/2024,Day 1,02:15,03:00,Show, , , 
Left Ovr,Lounge,1/30/2024,Day 1,03:45,04:30,Show, , , 
Karaoke,Sports Bar,1/30/2024,Day 1,00:00,06:00,Special Event, ,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Nanowar Of Steel,Pool,1/30/2024,Day 2,10:00,10:45,Show, , , 
Lich King,Pool,1/30/2024,Day 2,11:30,12:15,Show, , , 
Scar Symmetry,Pool,1/30/2024,Day 2,13:00,13:45,Show, , , 
Victory,Pool,1/30/2024,Day 2,14:30,15:15,Show, ,Culture Killed The Native Set , 
Omnium Gatherum,Pool,1/30/2024,Day 2,16:00,17:00,Show, ,Beyond, 
Unleashed,Pool,1/30/2024,Day 2,18:00,19:00,Show, , , 
My Dying Bride,Pool,1/30/2024,Day 2,20:00,21:00,Show, , , 
Epica,Pool,1/30/2024,Day 2,22:00,23:15,Show, ,The Quantum Enigma Set, 
Sodom,Pool,1/31/2024,Day 2,00:15,01:10,Show, ,Old School Best Of Set, 
Wind Rose,Pool,1/31/2024,Day 2,02:00,02:45,Show, , , 
Wolfheart,Pool,1/31/2024,Day 2,03:30,04:15,Show, , , 
Before The Dawn,Pool,1/31/2024,Day 2,05:00,05:45,Show, , , 
Rising Steel,Theater,1/30/2024,Day 2,10:45,11:30,Show, , , 
Tygers of Pan Tang,Theater,1/30/2024,Day 2,12:15,13:00,Show, , , 
Arion,Theater,1/30/2024,Day 2,13:45,14:30,Show, , , 
Threshold,Theater,1/30/2024,Day 2,15:15,16:00,Show, , , 
Grave Digger,Theater,1/30/2024,Day 2,17:00,18:00,Show, , , 
Angra,Theater,1/30/2024,Day 2,19:00,20:00,Show, , , 
Batushka,Theater,1/30/2024,Day 2,21:00,22:00,Show, , , 
Katatonia,Theater,1/30/2024,Day 2,23:15,00:15,Show, , , 
Dynazty,Theater,1/31/2024,Day 2,01:15,02:00,Show, , , 
Mystic Prophecy,Theater,1/31/2024,Day 2,02:45,03:30,Show, , , 
Noturnall,Rink,1/30/2024,Day 2,11:30,12:15,Show, , , 
April Art,Rink,1/30/2024,Day 2,13:00,13:45,Show, , , 
I Am The Night,Rink,1/30/2024,Day 2,14:30,15:15,Show, , , 
Nervosa,Rink,1/30/2024,Day 2,16:15,17:00,Show, , , 
Disillusion,Rink,1/30/2024,Day 2,18:00,18:45,Show, , , 
Lord of the Lost,Rink,1/30/2024,Day 2,20:00,20:45,Show, , , 
Blood Red Throne,Rink,1/30/2024,Day 2,22:15,23:00,Show, ,New Album World Premiere, 
Serenity,Rink,1/31/2024,Day 2,00:15,01:00,Show, , , 
Monstrosity,Rink,1/31/2024,Day 2,02:00,02:45,Show, , , 
Endseeker,Rink,1/31/2024,Day 2,04:15,05:00,Show, , , 
Graceless,Lounge,1/30/2024,Day 2,13:00,13:45,Show, , , 
Iotunn,Lounge,1/30/2024,Day 2,15:15,16:00,Show, , , 
Shores of Null,Lounge,1/30/2024,Day 2,17:15,18:00,Show, , , 
Decembre Noir,Lounge,1/30/2024,Day 2,19:15,20:00,Show, , , 
Edenbridge,Lounge,1/30/2024,Day 2,21:00,21:45,Show, , , 
Fleshcrawl,Lounge,1/30/2024,Day 2,23:15,00:00,Show, , , 
Inhuman Condition,Lounge,1/31/2024,Day 2,01:15,02:00,Show, , , 
Karaoke,Sports Bar,1/31/2024,Day 2,00:00,06:00,Special Event, ,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Karaoke,Sports Bar,2/1/2024,Day 3,00:00,06:00,Special Event, ,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Warkings,Pool,1/31/2024,Day 3,17:00,17:45,Show, , , 
Kataklysm,Pool,1/31/2024,Day 3,18:30,19:30,Show, ,In The Arms Of Devastation, 
Grave Digger,Pool,1/31/2024,Day 3,20:30,21:30,Show, , , 
Blind Guardian,Pool,1/31/2024,Day 3,22:30,23:45,Show, , , 
Batushka,Pool,2/1/2024,Day 3,00:30,01:30,Show, , , 
Equilibrium,Pool,2/1/2024,Day 3,02:15,03:00,Show, , , 
Aborted,Pool,2/1/2024,Day 3,03:45,04:30,Show, , , 
Crypta,Pool,2/1/2024,Day 3,05:15,06:00,Show, , , 
Temperance,Theater,1/31/2024,Day 3,17:45,18:30,Show, , , 
Omnium Gatherum,Theater,1/31/2024,Day 3,19:30,20:30,Show, , , 
Unleashed,Theater,1/31/2024,Day 3,21:30,22:30,Show, , , 
Heidevolk,Theater,1/31/2024,Day 3,23:45,00:30,Show, , , 
Nervosa,Theater,2/1/2024,Day 3,01:30,02:15,Show, , , 
Blood Red Throne,Theater,2/1/2024,Day 3,03:00,03:45,Show, , , 
Skyforger,Rink,1/31/2024,Day 3,17:00,17:45,Show, , , 
Nanowar Of Steel,Rink,1/31/2024,Day 3,18:45,19:30,Show, , , 
Saor,Rink,1/31/2024,Day 3,20:30,21:15,Show, , , 
Decembre Noir,Rink,1/31/2024,Day 3,22:15,23:00,Show, , , 
Scar Symmetry,Rink,1/31/2024,Day 3,23:45,00:30,Show, , , 
Leaves Eyes,Rink,2/1/2024,Day 3,01:30,02:15,Show, , , 
Iotunn,Rink,2/1/2024,Day 3,03:00,03:45,Show, , , 
Infected Rain,Rink,2/1/2024,Day 3,04:30,05:15,Show, , , 
Endseeker,Lounge,1/31/2024,Day 3,17:45,18:30,Show, , , 
Vision Divine,Lounge,1/31/2024,Day 3,19:30,20:15,Show, , , 
Dalriada,Lounge,1/31/2024,Day 3,21:15,22:00,Show, , , 
Monstrosity,Lounge,1/31/2024,Day 3,23:00,23:45,Show, , , 
April Art,Lounge,2/1/2024,Day 3,00:45,01:30,Show, , , 
Rising Steel,Lounge,2/1/2024,Day 3,02:15,03:00,Show, , , 
Noturnall,Lounge,2/1/2024,Day 3,03:45,04:30,Show, , , 
Lord of the Lost,Pool,2/1/2024,Day 4,10:00,10:45,Show, , , 
Einherjer,Pool,2/1/2024,Day 4,11:30,12:15,Show, ,90s Viking Metal Set, 
Belly Flop Contest,Solarium,2/1/2024,Day 4,12:15,13:15,Special Event, ,,https://www.dropbox.com/s/aqi1k1fhfsfcdx0/BellyFlop.png?raw=1
Serenity,Pool,2/1/2024,Day 4,13:15,14:00,Show, , , 
Waltari,Pool,2/1/2024,Day 4,14:45,15:30,Show, , , 
Dynazty,Pool,2/1/2024,Day 4,16:15,17:00,Show, , , 
Fleshgod Apocalypse,Pool,2/1/2024,Day 4,17:45,18:30,Show, , , 
The Halo Effect,Pool,2/1/2024,Day 4,19:30,20:30,Show, , , 
Katatonia,Pool,2/1/2024,Day 4,21:30,22:30,Show, , , 
Angra,Pool,2/1/2024,Day 4,23:45,01:00,Show, ,Live DVD Shoot, 
Skippers Thank You,Pool,2/2/2024,Day 4,01:00,01:15,Special Event, ,,https://www.dropbox.com/s/29l042jutb4payw/skipperThankYou.png?raw=1
Closing Karaoke,Solarium,2/2/2024,Day 4,01:15,05:00,Special Event, ,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Fleshcrawl,Theater,2/1/2024,Day 4,10:45,11:30,Show, , , 
Edenbridge,Theater,2/1/2024,Day 4,12:15,13:00,Show, , , 
All Star Jam,Theater,2/1/2024,Day 4,14:30,16:00,Special Event, ,,https://www.dropbox.com/s/cb0a6mvq760tjru/jammingWithWaters.png?raw=1
