Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Einherjer,Lounge,2/4/2017,Day 2,00:15,01:00,Show,,,
Vreid,Pool,2/4/2017,Day 2,01:45,02:30,Show,,,
Cryptex,Lounge,2/4/2017,Day 2,01:45,02:30,Show,,,
Stuck Mojo,Rink,2/4/2017,Day 2,02:30,03:15,Show,,,
Omnium Gatherum,Pool,2/4/2017,Day 2,03:15,04:00,Show,,,
Witchtrap,Rink,2/4/2017,Day 2,04:00,04:45,Show,,,
Allegaeon,Pool,2/4/2017,Day 2,04:45,05:30,Show,,,
Mors Principium Est,Pool,2/4/2017,Day 3,17:00,17:45,Show,,,
Ghost Ship Octavius,Rink,2/4/2017,Day 3,17:00,17:45,Show,,,
Moonsorrow,Theater,2/4/2017,Day 3,17:45,18:30,Show,,,
Grave,Lounge,2/4/2017,Day 3,17:45,18:30,Show,,,
Draconian,Rink,2/4/2017,Day 3,18:30,19:15,Show,,,
Overkill,Pool,2/4/2017,Day 3,18:30,19:30,Show,,,
Uli Jon Roth,Theater,2/4/2017,Day 3,19:15,20:15,Show,,,
Stam1na,Lounge,2/4/2017,Day 3,19:30,20:15,Show,,,
Testament,Pool,2/4/2017,Day 3,20:15,21:15,Show,,,
Trollfest,Rink,2/4/2017,Day 3,20:15,21:00,Show,,,
Demolition Hammer,Lounge,2/4/2017,Day 3,21:00,21:45,Show,,,
Haggard,Theater,2/4/2017,Day 3,21:15,22:15,Show,,,
Marduk,Rink,2/4/2017,Day 3,22:00,22:45,Show,,,
Kamelot,Pool,2/4/2017,Day 3,22:15,20:30,Show,,,
Psycroptic,Lounge,2/4/2017,Day 3,20:00,20:45,Show,,,
Amorphis,Theater,2/4/2017,Day 3,20:30,00:30,Show,,,
Einherjer,Rink,2/4/2017,Day 3,20:45,00:30,Show,,,
Allegaeon,Lounge,2/5/2017,Day 3,00:45,01:30,Show,,,
Grave Digger,Pool,2/5/2017,Day 3,00:30,01:30,Show,,,
Equilibrium,Theater,2/5/2017,Day 3,01:30,02:15,Show,,,
Cryptopsy,Rink,2/5/2017,Day 3,01:30,02:15,Show,,,
Xandria,Pool,2/5/2017,Day 3,02:15,03:00,Show,,,
Revocation,Lounge,2/5/2017,Day 3,02:15,03:00,Show,,,
Dalriada,Theater,2/5/2017,Day 3,03:00,03:45,Show,,,
Cattle Decapitation,Rink,2/5/2017,Day 3,03:00,03:45,Show,,,
Powerglove,Lounge,2/5/2017,Day 3,03:45,04:30,Show,,,
Dying Fetus,Pool,2/5/2017,Day 3,03:45,04:30,Show,,,
Total Death,Rink,2/5/2017,Day 3,04:30,05:15,Show,,,
Striker,Pool,2/5/2017,Day 3,05:15,06:00,Show,,,
Axxis,Pool,2/5/2017,Day 4,10:00,10:45,Show,,,
Serenity,Rink,2/5/2017,Day 4,10:45,11:30,Show,,,
Amaranthe,Pool,2/5/2017,Day 4,11:30,12:15,Show,,,
Belly Flop Contest,Solarium,2/5/2017,Day 4,12:15,13:15,Special Event,,,
Orphaned Land,Pool,2/5/2017,Day 4,03:20,14:00,Show,,,
Manegarm,Theater,2/5/2017,Day 4,12:15,13:00,Show,,,
Cryptex,Rink,2/5/2017,Day 4,12:15,13:00,Show,,,
Witchtrap,Lounge,2/5/2017,Day 4,13:00,13:45,Show,,,
Trauma,Rink,2/5/2017,Day 4,13:45,14:30,Show,,,
Jamming With Waters,Theater,2/5/2017,Day 4,14:00,15:30,Special Event,,,
Unleashed,Pool,2/5/2017,Day 4,14:45,15:45,Show,,,
Misery loves Co.,Lounge,2/5/2017,Day 4,14:45,15:30,Show,,,
Nightmare,Rink,2/5/2017,Day 4,15:30,16:15,Show,,,
Devil Driver,Pool,2/5/2017,Day 4,16:30,17:30,Show,,,
Saltatio Mortis,Theater,2/5/2017,Day 4,16:15,17:00,Show,,,
Orden Ogan,Lounge,2/5/2017,Day 4,16:15,17:00,Show,,,
Omnium Gatherum,Rink,2/5/2017,Day 4,17:00,17:45,Show,,,
Pain,Theater,2/5/2017,Day 4,17:45,18:30,Show,,,
Avatarium,Lounge,2/5/2017,Day 4,17:45,18:30,Show,,,
Kalmah,Pool,2/5/2017,Day 4,18:15,19:15,Show,,,
Edenbridge,Rink,2/5/2017,Day 4,18:30,19:15,Show,,,
Scar Symmetry,Lounge,2/5/2017,Day 4,19:15,20:00,Show,,,
Carcass,Pool,2/5/2017,Day 4,20:00,21:00,Show,,,
Annihilator,Theater,2/5/2017,Day 4,19:15,20:15,Show,,,
Touch The Sun,Rink,2/5/2017,Day 4,20:15,21:00,Show,,,
Angra,Theater,2/5/2017,Day 4,21:00,22:00,Show,,,
Stuck Mojo,Lounge,2/5/2017,Day 4,21:00,21:45,Show,,,
Suffocation,Rink,2/5/2017,Day 4,21:45,22:30,Show,,,
Vreid,Lounge,2/5/2017,Day 4,22:30,20:15,Show,,,
Arch Enemy,Pool,2/5/2017,Day 4,22:00,20:15,Show,,,
Anthrax,Theater,2/5/2017,Day 4,20:00,00:15,Show,,,
Cruachan,Rink,2/5/2017,Day 4,20:15,00:00,Show,,,
Death Angel,Theater,2/6/2017,Day 4,01:15,02:00,Show,,,
Therion,Pool,2/6/2017,Day 4,00:00,01:00,Show,,,
Skipper Thank You,Pool,2/6/2017,Day 4,01:00,01:15,Special Event,,,
Final Karaoke,Solarium,2/6/2017,Day 4,01:30,06:00,Special Event,,,
Amorphis,Pool,2/3/2017,Day 2,19:45,20:45,Show,,,
