Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Susperia,Labyrinth,02/5/16,Fri,15:30,17:00,Listening Party,,
Delain,Labyrinth,02/5/16,Fri,17:00,18:30,Listening Party,,
Paradise Lost,Labyrinth,02/5/16,Fri,18:30,20:00,Meet and Greet,,,,,
Bloodbath,Labyrinth,02/5/16,Fri,20:00,21:30,Meet and Greet,,,,,
Dragonforce,On Air Club,02/5/16,Fri,11:00,12:30,Meet and Greet,,,,,
Epica,On Air Club,02/5/16,Fri,12:30,14:00,Meet and Greet,,,,,
Children Of Bodom,On Air Club,02/5/16,Fri,14:00,15:30,Meet and Greet,,,,,
Lacuna Coil,On Air Club,02/5/16,Fri,15:30,17:00,Meet and Greet,,,,,
Rhapsody of Fire,On Air Club,02/5/16,Fri,17:00,18:30,Meet and Greet,,,,,
At The Gates,On Air Club,02/5/16,Fri,18:30,20:00,Meet and Greet,,,,,
Gamma Ray,On Air Club,02/5/16,Fri,20:00,21:30,Meet and Greet,,,,,
Subway To Sally,Casino,02/5/16,Fri,11:00,12:30,Meet and Greet,,,,,
Turisas,Casino,02/5/16,Fri,12:30,14:00,Meet and Greet,,,,,
Stratovarius,Casino,02/5/16,Fri,14:00,15:30,Meet and Greet,,,,,
Iced Earth,Casino,02/5/16,Fri,15:30,17:00,Meet and Greet,,,,,
Eluveitie,Casino,02/5/16,Fri,17:00,18:30,Meet and Greet,,,,,
Sodom,Casino,02/5/16,Fri,18:30,20:00,Meet and Greet,,,,,
Katatonia,Casino,02/5/16,Fri,20:00,21:30,Meet and Greet,,,,,
Hammerfall,Casino,02/5/16,Fri,21:30,23:00,Meet and Greet,,,,,
Ghoul,Boleros,02/5/16,Fri,11:00,12:00,Meet and Greet,,,,,
Diamond Head,Boleros,02/5/16,Fri,11:00,12:00,Meet and Greet,,,,,
Jag Panzer,Boleros,02/5/16,Fri,12:00,13:00,Meet and Greet,,,,,
Manilla Road,Boleros,02/5/16,Fri,12:00,13:00,Meet and Greet,,,,,
Vallenfyre,Boleros,02/5/16,Fri,13:00,14:00,Meet and Greet,,,,,
Rotting Christ,Boleros,02/5/16,Fri,13:00,14:00,Meet and Greet,,,,,
Incantation,Boleros,02/5/16,Fri,14:00,15:00,Meet and Greet,,,,,
Aura Noir,Boleros,02/5/16,Fri,14:00,15:00,Meet and Greet,,,,,
No Raza,Boleros,02/5/16,Fri,15:00,16:00,Meet and Greet,,,,,
Vader,Boleros,02/5/16,Fri,15:00,16:00,Meet and Greet,,,,,
Novembers Doom,Boleros,02/5/16,Fri,16:00,17:00,Meet and Greet,,,,,
Insomnium,Boleros,02/5/16,Fri,16:00,17:00,Meet and Greet,,,,,
Visions of Atlantis,Boleros,02/5/16,Fri,17:00,18:00,Meet and Greet,,,,,
